id;age.min;age.max;countries
1;0;150;AUS, CAN, CHL, CRI, DNK, FRA, NZL, NOR, KOR, ZAF, GBR, USA
2;18;120;CUB, MEX, DOM, PRI, CHN, PER, IND, VEN, AUT, AUS, GRC, ESP, FIN, POL, GBR, RUS, LTU, CZE, USA, JPN, GHA, NLD, KOR, ZAF, DNK, HUN, SWE, CHE, IRL, EST, BEL, ISR, SVN, HRV, LUX, PRT, FRA, DEU, ITA
3;0;120;NLD
4;18;;CAN, DEU, ITA, IRL, GBR, FIN, NLD, NOR
5;30;74;CAN
6;;;ITA, NLD, GBR, SWE
7;50;;GBR, NLD, DEU, FRA, DNK, GRC, FIN, NOR, SWE, USA
8;;;BEL, CZE, DNK, FRO, FIN, FRA, DEU, GRC, IRL, ITA, LTU, NLD, NOR, POL, PRT, SVK, ESP, SWE, CHE, UKR, GBR
9;;;GBR
10;0;90;SWE
11;35;84;ESP
